year;news;GS1;GS2;GS3+;GS;GN;TW;WC;DPG;DPD;DEVPT
2000;17187;0;0;0;0;0;137;8;364;155;4527
2001;49490;3;1;0;4;2;298;21;724;418;11534
2002;135191;6;0;0;6;3;712;77;1722;965;33262
2003;152660;18;1;3;22;1;755;67;2056;1080;38441
2004;161459;13;1;0;14;5;690;50;2140;1003;41548
2005;156732;18;3;2;23;7;663;77;2627;1386;44261
2006;184484;25;2;3;30;2;699;82;2720;1227;52253
2007;210086;30;7;3;40;11;776;104;3158;1573;57892
2008;197078;45;10;4;59;16;598;90;2792;1357;54053
2009;176982;33;10;1;44;9;437;91;2768;1559;51875
2010;199923;41;8;2;51;13;445;62;2247;1284;56940
2011;257131;44;6;4;54;29;526;144;2911;1561;67380
2012;279031;56;9;4;69;22;420;111;3117;1308;73670
2013;314187;119;9;12;140;37;441;136;3269;1473;83181
2014;343196;106;14;10;130;30;460;124;3250;1600;91710
2015;371964;145;30;16;191;58;568;98;4184;2031;101801
2016;217705;73;15;7;95;30;280;62;2314;1113;62076
2017;120914;57;21;6;84;31;135;25;1324;593;35377
2018;98971;49;11;8;68;23;91;32;967;487;29329
2019;96696;73;10;13;96;43;105;27;971;423;29412
2020;128134;142;17;17;176;88;130;30;1181;628;36082
2021;114487;180;32;33;245;125;120;34;1447;767;34579
2022;78009;175;48;24;247;126;80;25;1090;593;24513
2023;54025;208;58;59;325;148;46;22;779;408;16896
2024;59182;278;63;65;406;147;54;17;708;377;20513
